,Rep,Sch,Gen,Emissions,B1,R1,P1,B2,R2,P2
0,0,0,0,444,0,0,0,0,0,0
1,0,0,1,863,0,0,0,0,0,0
2,0,0,2,995,0,0,0,0,0,0
3,0,0,3,736,0,0,0,0,0,0
4,0,0,4,577,0,0,0,0,0,0
5,0,0,5,371,0,0,0,0,0,0
6,0,0,6,512,0,0,0,1,0,0
7,0,0,7,775,0,0,0,0,0,0
8,0,0,8,343,0,0,0,0,0,0
9,0,0,9,659,0,0,0,0,0,0
10,0,0,10,326,0,0,0,0,0,0
11,0,0,11,33,0,0,0,0,0,0
12,0,0,12,545,0,0,0,1,0,0
13,0,0,13,355,0,0,0,0,0,0
14,0,0,14,356,0,0,0,0,0,0
15,0,0,15,817,0,0,0,0,0,0
16,0,0,16,624,0,0,0,0,0,0
17,0,0,17,859,0,0,0,0,0,0
18,0,0,18,995,0,0,0,0,0,0
19,0,0,19,545,0,0,0,1,0,0
20,0,0,20,690,0,0,0,0,0,0
21,0,0,21,882,0,0,0,0,0,0
22,0,0,22,675,0,0,0,0,0,0
23,0,0,23,880,0,0,0,0,0,0
24,0,0,24,721,0,0,0,0,0,0
25,0,0,25,273,0,0,0,0,0,0
26,0,0,26,800,0,0,0,0,0,0
27,0,0,27,899,0,0,0,0,0,0
28,0,0,28,496,1,1,0,0,0,0
29,0,0,29,481,1,0,0,0,0,0
30,0,0,30,800,0,0,0,0,0,0
31,0,0,31,547,0,0,0,1,0,0
32,0,0,32,368,0,0,0,0,0,0
33,0,0,33,169,0,0,0,0,0,0
34,0,0,34,385,0,0,0,0,0,0
35,0,0,35,338,0,0,0,0,0,0
36,0,0,36,391,0,0,0,0,0,0
37,0,0,37,977,0,0,0,0,0,0
38,0,0,38,480,1,0,0,0,0,0
39,0,0,39,866,0,0,0,0,0,0
40,0,0,40,912,0,0,0,0,0,0
41,0,0,41,475,1,0,0,0,0,0
42,0,0,42,811,0,0,0,0,0,0
43,0,0,43,843,0,0,0,0,0,0
44,0,0,44,864,0,0,0,0,0,0
45,0,0,45,483,1,0,0,0,0,0
46,0,0,46,771,0,0,0,0,0,0
47,0,0,47,34,0,0,0,0,0,0
48,0,0,48,515,0,0,0,1,1,0
49,0,0,49,512,0,0,0,1,0,0
50,0,0,50,129,0,0,0,0,0,0
51,0,0,51,498,1,0,0,0,0,0
52,0,0,52,818,0,0,0,0,0,0
53,0,0,53,880,0,0,0,0,0,0
54,0,0,54,616,0,0,0,0,0,0
55,0,0,55,610,0,0,0,0,0,0
56,0,0,56,226,0,0,0,0,0,0
57,0,0,57,738,0,0,0,0,0,0
58,0,0,58,866,0,0,0,0,0,0
59,0,0,59,706,0,0,0,0,0,0
60,0,0,60,929,0,0,0,0,0,0
61,0,0,61,929,0,0,0,0,0,0
62,0,0,62,578,0,0,0,0,0,0
63,0,0,63,994,0,0,0,0,0,0
64,0,0,64,992,0,0,0,0,0,0
65,0,0,65,483,1,0,0,0,0,0
66,0,0,66,160,0,0,0,0,0,0
67,0,0,67,289,0,0,0,0,0,0
68,0,0,68,355,0,0,0,0,0,0
69,0,0,69,803,0,0,0,0,0,0
70,0,0,70,547,0,0,0,1,1,0
71,0,0,71,544,0,0,0,1,0,0
72,0,0,72,113,0,0,0,0,0,0
73,0,0,73,545,0,0,0,1,1,0
74,0,0,74,497,1,0,0,0,0,0
75,0,0,75,707,0,0,0,0,0,0
76,0,0,76,515,0,0,0,1,0,0
77,0,0,77,577,0,0,0,0,0,0
78,0,0,78,579,0,0,0,0,0,0
79,0,0,79,625,0,0,0,0,0,0
80,0,0,80,609,0,0,0,0,0,0
